run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
3,DistilBert,64,221,144.665788609,0.002785751596093178,658151065,233018227,413117097,11737116
3,DistilBert,64,222,145.312607085,0.0027705691754817963,646389359,232161453,402208026,11731495
3,DistilBert,64,223,145.967656286,0.0027647363021969795,654635693,232102542,410403299,11820277
3,DistilBert,64,224,146.628351886,0.0027600633911788464,660256112,232977087,415214524,11768997
3,DistilBert,64,225,147.282844247,0.0027469939086586237,654060743,232460167,409531535,11787217
3,DistilBert,64,226,147.935568037,0.00274520181119442,652294412,232237664,407966256,11801737
3,DistilBert,64,227,148.600633784,0.0027088774368166924,664642469,232594660,419778933,11952040
3,DistilBert,64,228,149.260288415,0.0026862621307373047,659103722,231765836,415246354,11788037
3,DistilBert,64,229,149.919098952,0.0026721812319010496,658327669,231718495,414569473,11753646
3,DistilBert,64,230,150.572670096,0.0026789060793817043,653081726,229440645,411539480,11810316
3,DistilBert,64,231,151.226450525,0.00267188367433846,653331671,232702212,408576247,11764867
3,DistilBert,64,232,151.881853312,0.002659729914739728,654975249,232580980,410329748,11788857
3,DistilBert,64,233,152.5355729,0.0026439076755195856,653267790,229189070,412028078,11731246
3,DistilBert,64,234,153.189937018,0.002618334023281932,653965461,232233024,409701687,11748586
3,DistilBert,64,235,153.841289284,0.0026087104342877865,650915738,232925836,405927531,11765136
3,DistilBert,64,236,154.495339047,0.002612343756482005,653631016,229307622,412234302,11792837
3,DistilBert,64,237,155.148312042,0.0025862455368041992,652576088,232045700,408610688,11647655
3,DistilBert,64,238,155.800509912,0.0025866515934467316,651760982,233467285,406239126,11777957
3,DistilBert,64,239,156.454420723,0.0025615873746573925,653483423,229423664,412119269,11640354
3,DistilBert,64,240,157.107614471,0.002559230662882328,652778901,232012410,408742480,11743646
3,DistilBert,64,241,157.759417105,0.002544981427490711,651368756,233275962,406014553,11793587
3,DistilBert,64,242,158.413983278,0.002528077457100153,654141545,229993315,412180700,11697675
3,DistilBert,64,243,159.067360609,0.0025262737181037664,652950604,232233093,408546627,11830767
3,DistilBert,64,244,159.719509809,0.002504057949408889,651649451,233749781,405830589,11782756
3,DistilBert,64,245,160.372101087,0.0024915046524256468,652168741,228982007,411196123,11722855
3,DistilBert,64,246,161.02618971,0.0024728579446673393,653671406,232611750,408972284,11783076
3,DistilBert,64,247,161.678241049,0.002493368461728096,651613611,233536696,406021453,11772787
3,DistilBert,64,248,162.334725854,0.002466777805238962,656054458,231133884,412926594,11718705
3,DistilBert,64,249,162.990484597,0.0024694770108908415,655331835,232316366,411034370,11689775
3,DistilBert,64,250,163.640654453,0.0024473490193486214,649740228,232544419,405100106,11815528
3,DistilBert,64,251,164.295565851,0.0024369661696255207,654499761,230129867,412372154,11727836
3,DistilBert,64,252,164.951155232,0.002421822166070342,655163792,232233054,410874538,11756176
3,DistilBert,64,253,165.600552433,0.002420781645923853,648964874,232177852,404722629,11779476
3,DistilBert,64,254,166.255063734,0.0023956140503287315,654088154,230074016,411967777,11768196
3,DistilBert,64,255,166.91153388,0.0024149417877197266,656024338,232146852,411812764,11777417
3,DistilBert,64,256,167.561170956,0.0023831799626350403,649198518,232692762,404449705,11762605
3,DistilBert,64,257,168.21871547,0.002393556758761406,657123677,231397739,413731767,11708646
3,DistilBert,64,258,168.879678075,0.002360568381845951,660534987,233984204,414167396,12027972
3,DistilBert,64,259,169.538524422,0.0023473442997783422,658297828,233217561,413043285,11743836
3,DistilBert,64,260,170.192647367,0.0023421086370944977,653664537,233708469,407860684,11808227
3,DistilBert,64,261,170.850920674,0.0023472963366657495,657847500,233541377,412350983,11678825
3,DistilBert,64,262,171.505840173,0.002319276798516512,654494402,231056253,411385006,11757046
3,DistilBert,64,263,172.162620954,0.0023221406154334545,656336734,233428714,410861537,11774387
3,DistilBert,64,264,172.819619889,0.002310622250661254,656585498,233935453,410609113,11761896
3,DistilBert,64,265,173.478051809,0.0022910181432962418,658007213,233323533,412620998,11770107
3,DistilBert,64,266,174.136501479,0.002280698623508215,658015773,232870905,413147878,11706325
3,DistilBert,64,267,174.796404845,0.0022862302139401436,659467739,233628028,413748328,11790557
3,DistilBert,64,268,175.457327058,0.002282812027260661,660483375,234118237,414291347,11782066
3,DistilBert,64,269,176.115735128,0.002264944836497307,657979772,232923196,412983724,11688766
3,DistilBert,64,270,176.768819595,0.002243206836283207,652668579,233348564,407205703,11820377
3,DistilBert,64,271,177.432338544,0.0022465279325842857,663095282,232340616,418743166,11733596
3,DistilBert,64,272,178.090334466,0.0022292938083410263,657574935,232317745,413153028,11809587
3,DistilBert,64,273,178.748197677,0.002231895923614502,657413083,232715732,412057688,12184674
3,DistilBert,64,274,179.404854255,0.0022232045885175467,655998227,231901498,412008388,11735566
3,DistilBert,64,275,180.059382837,0.002197603927925229,654013553,232715242,409254099,11737626
3,DistilBert,64,276,180.711763481,0.002203709678724408,651937376,233255362,406744545,11660255
3,DistilBert,64,277,181.3656001,0.002183046657592058,653415001,229705620,411661272,11768506
3,DistilBert,64,278,182.019740345,0.0021802731789648533,653694927,232479588,409222119,11691145
3,DistilBert,64,279,182.672598087,0.0021763460244983435,652406974,233785911,406557321,11768386
3,DistilBert,64,280,183.327257881,0.002157599665224552,654224246,229665120,412498526,11759716
3,DistilBert,64,281,183.982005617,0.00214884290471673,654321508,232002349,410213926,11809248
3,DistilBert,64,282,184.633103508,0.002135501243174076,650660883,233179421,405463333,11726385
3,DistilBert,64,283,185.289133476,0.0021366614382714033,655600490,231161716,412402705,11760476
3,DistilBert,64,284,185.946354055,0.0021250038407742977,656781541,232093901,412658418,11744296
3,DistilBert,64,285,186.595445421,0.0021124882623553276,648638778,231940769,404665669,11712046
3,DistilBert,64,286,187.252337194,0.0021100472658872604,656466025,231446121,412951934,11785366
3,DistilBert,64,287,187.910292176,0.002111197682097554,657508504,232537649,412846602,11853538
3,DistilBert,64,288,188.567657638,0.002094327239319682,656966205,231844217,413129707,11685615
3,DistilBert,64,289,189.221197292,0.0020896841306239367,653108717,232352575,408630778,11817557
